,0
290,ENSG00000198089
291,ENSG00000172817
292,ENSG00000143473
293,ENSG00000167703
294,ENSG00000143951
295,ENSG00000112782
296,ENSG00000205364
297,ENSG00000132680
298,ENSG00000159307
299,ENSG00000110925
300,ENSG00000105509
301,ENSG00000164309
302,ENSG00000250067
303,ENSG00000213203
304,ENSG00000104518
305,ENSG00000178093
306,ENSG00000137831
307,ENSG00000087157
308,ENSG00000154781
309,ENSG00000114933
310,ENSG00000187775
311,ENSG00000155868
312,ENSG00000154237
313,ENSG00000171206
314,ENSG00000119707
315,ENSG00000184731
316,ENSG00000204859
317,ENSG00000184898
318,ENSG00000170961
319,ENSG00000204256
320,ENSG00000182600
321,ENSG00000204839
322,ENSG00000041880
323,ENSG00000099860
324,ENSG00000184988
325,ENSG00000001561
326,ENSG00000067798
327,ENSG00000162413
328,ENSG00000153975
329,ENSG00000154451
330,ENSG00000148606
331,ENSG00000204655
332,ENSG00000123609
333,ENSG00000173285
334,ENSG00000122224
335,ENSG00000182329
336,ENSG00000164707
337,ENSG00000145555
338,ENSG00000164136
339,ENSG00000162772
340,ENSG00000185800
341,ENSG00000104936
342,ENSG00000243710
343,ENSG00000116194
344,ENSG00000169504
345,ENSG00000100697
346,ENSG00000100253
347,ENSG00000161405
348,ENSG00000162771
349,ENSG00000161298
350,ENSG00000128594
351,ENSG00000177045
352,ENSG00000121797
353,ENSG00000138670
354,ENSG00000171223
355,ENSG00000086730
356,ENSG00000162601
357,ENSG00000146826
358,ENSG00000095066
359,ENSG00000088756
360,ENSG00000214193
361,ENSG00000177606
362,ENSG00000184545
363,ENSG00000157827
364,ENSG00000100813
365,ENSG00000176136
366,ENSG00000105613
367,ENSG00000181751
368,ENSG00000009765
369,ENSG00000234545
370,ENSG00000173926
371,ENSG00000134242
372,ENSG00000171747
373,ENSG00000070190
374,ENSG00000173875
375,ENSG00000164122
376,ENSG00000081019
377,ENSG00000041988
378,ENSG00000164241
379,ENSG00000003756
380,ENSG00000132478
381,ENSG00000188761
382,ENSG00000150630
383,ENSG00000122641
384,ENSG00000106100
385,ENSG00000110446
386,ENSG00000108797
387,ENSG00000138433
388,ENSG00000137628
389,ENSG00000120910
390,ENSG00000007171
391,ENSG00000061936
392,ENSG00000004534
393,ENSG00000117616
394,ENSG00000139154
395,ENSG00000181404
396,ENSG00000171163
397,ENSG00000108474
398,ENSG00000177000
399,ENSG00000164100
400,ENSG00000160161
401,ENSG00000155158
402,ENSG00000135363
403,ENSG00000163840
404,ENSG00000138496
405,ENSG00000177409
406,ENSG00000121101
407,ENSG00000167080
408,ENSG00000105717
409,ENSG00000240563
410,ENSG00000153283
411,ENSG00000158486
412,ENSG00000176463
413,ENSG00000169758
414,ENSG00000060642
415,ENSG00000183495
416,ENSG00000204644
417,ENSG00000128604
418,ENSG00000064547
419,ENSG00000196460
