Gene	Papio anubis FC	Papio anubis P-value	Papio anubis Q-value	Gorilla gorilla FC	Gorilla gorilla P-value	Gorilla gorilla Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value	Saimiri boliviensis boliviensis FC	Saimiri boliviensis boliviensis P-value	Saimiri boliviensis boliviensis Q-value	Pongo abelii FC	Pongo abelii P-value	Pongo abelii Q-value	Pan paniscus FC	Pan paniscus P-value	Pan paniscus Q-value	Pan troglodytes FC	Pan troglodytes P-value	Pan troglodytes Q-value	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca nemestrina FC	Macaca nemestrina P-value	Macaca nemestrina Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value
ENSG00000006576	0.127686887	0.365386696	0.624498695	-0.351785577	0.160526904	0.418538835	-0.415175066	6.75E-05	0.000564247	0.68292369	0.000193002	0.001161326	-0.83040099	6.42E-05	0.000763449	-1.309546744	1.62E-12	3.78E-11	-0.930473866	3.62E-21	1.99E-19	-0.801985882	0.005743762	0.027917075	-0.274452386	0.029650716	0.112132053	-0.32062929	0.037206584	0.173260774
ENSG00000182511	1.479911717	3.41E-09	5.04E-08	1.545935655	1.91E-07	3.24E-06	0.907063174	1.04E-06	1.32E-05	0.637419817	0.020780959	0.066527357	1.64755912	1.12E-08	3.00E-07	1.100528972	1.05E-08	1.57E-07	1.184731791	0.005874103	0.02444978	1.02336628	1.24E-05	0.000128084	0.927037785	7.92E-05	0.000796732	0.088612992	0.666750955	1
ENSG00000140564	1.390291251	5.97E-16	2.00E-14	0.58859722	0.000302837	0.002459795	0.466977932	1.94E-11	4.91E-10	0.731649349	9.61E-06	7.60E-05	1.149678048	4.45E-09	1.29E-07	0.592735879	0.010130848	0.042008047	0.385058354	9.62E-06	8.26E-05	0.257673051	0.285237674	0.555476193	0.542296147	0.006006178	0.031010367	0.127774869	0.23259584	0.595221416
ENSG00000175224	0.473641675	0.000102475	0.00063186	0.566579601	3.43E-05	0.000359446	0.130035369	0.090506721	0.264831276	-0.212815232	0.03833513	0.110046588	0.381336887	0.007447963	0.042176805	0.463454007	0.000113671	0.000844101	0.354847034	0.000123402	0.000815172	0.366928033	0.006616468	0.031320916	0.52514378	3.23E-05	0.000362503	0.092895684	0.339270907	0.725922636
ENSG00000071282	-1.127388062	4.47E-06	3.75E-05	-0.331679698	0.564056381	0.931022379	-0.475328676	0.014066051	0.059097495	-1.203266277	0.000656902	0.003465084	-0.383402321	0.081804769	0.26816708	-2.540305547	4.94E-12	1.10E-10	-1.35127591	9.77E-11	2.00E-09	0.00594055	0.986931626	1	-0.873857782	3.79E-05	0.00041671	-0.692100759	0.000106335	0.001554107
ENSG00000182533	0	1	1	0	1	1	-1.238922081	0.121853986	0.333437096	-2.179901924	0.224202973	0.442917014	0	1	1	0	1	1	0	1	1	1.351992982	1	1	-1.945865382	0.322552931	0.64819166	0	1	1
ENSG00000180423	0.067578583	0.723695251	0.997479316	0.129768878	0.48602605	0.865675979	-0.200400703	0.140886497	0.370301069	-0.217150251	0.149921136	0.326951161	0.191316421	0.474745252	0.856102126	0.40914852	0.018584136	0.069393535	0.255829287	0.064557413	0.184049773	0.341094228	0.209380911	0.44796854	0.111781006	0.565635858	0.91931631	-0.036932365	0.785602861	1
ENSG00000064012	1.277868268	1.68E-23	1.03E-21	1.136500129	4.21E-16	2.08E-14	0.609854062	3.74E-10	8.05E-09	1.998678411	9.44E-53	1.33E-50	0.980520872	8.16E-12	3.59E-10	1.40977627	6.32E-22	3.07E-20	1.432160652	5.26E-19	2.49E-17	1.618083755	5.79E-16	2.28E-14	1.239271746	4.19E-12	1.73E-10	0.703816642	3.25E-06	7.70E-05
ENSG00000186815	-1.250213319	2.06E-15	6.54E-14	-0.617959801	0.018768681	0.080436134	-0.420015153	1.68E-06	2.02E-05	-1.03721784	2.12E-07	2.27E-06	-1.226190521	9.32E-10	3.08E-08	-0.797052237	6.05E-06	5.86E-05	-0.652932061	8.80E-05	0.000600763	0.000197586	1	1	-0.886111354	3.21E-06	4.78E-05	-1.020102221	3.97E-12	3.31E-10
ENSG00000110497	0.300434378	0.046471603	0.130472575	0.957075535	6.34E-13	2.29E-11	0.08124429	0.446052196	0.810503459	0.870577668	5.30E-18	1.76E-16	0.501581411	0.005016691	0.030671766	0.868403684	6.69E-09	1.03E-07	0.562062222	2.02E-08	2.94E-07	0.925722231	2.27E-08	3.83E-07	0.571641073	1.51E-05	0.00018815	0.372047752	0.000394258	0.004704057
