Gene	Papio anubis FC	Papio anubis P-value	Papio anubis Q-value	Gorilla gorilla FC	Gorilla gorilla P-value	Gorilla gorilla Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value	Saimiri boliviensis boliviensis FC	Saimiri boliviensis boliviensis P-value	Saimiri boliviensis boliviensis Q-value	Pongo abelii FC	Pongo abelii P-value	Pongo abelii Q-value	Pan paniscus FC	Pan paniscus P-value	Pan paniscus Q-value	Pan troglodytes FC	Pan troglodytes P-value	Pan troglodytes Q-value	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca nemestrina FC	Macaca nemestrina P-value	Macaca nemestrina Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value
ENSG00000073150	-1.551054858	2.09E-07	2.27E-06	-0.873881036	0.436852799	0.805863972	2.778789156	0.249114843	0.550620738	-0.150725972	0.769546082	1	-2.666649184	0.162634112	0.431841326	-1.023024723	0.324862144	0.625455542	-0.226197714	0.401103558	0.733171793	-0.32973408	0.619403316	0.903560205	-0.269221479	0.481240565	0.846138663	-0.898121112	0.628715856	0.985834252
ENSG00000119965	0.039793594	0.772746453	1	0.036622746	0.862815427	1	0.105277401	0.335124338	0.670046886	-0.697148428	0.000107968	0.000692339	0.242327948	0.050948232	0.190997325	-0.20808798	0.224543444	0.482294824	-0.145547668	0.113385714	0.289391006	0.266913709	0.329164436	0.60700091	-0.734775034	6.06E-07	1.10E-05	-0.057564231	0.599940643	0.969870786
ENSG00000127578	-1.106164807	0.478595698	0.760423845	0	1	1	-0.024920739	1	1	-0.802618471	0.129183769	0.291517551	0	1	1	0.01029929	1	1	-0.768632318	0.459868127	0.807361557	-0.160329598	0.892674893	1	0.079112	0.864929298	1	0.434201285	0.562063554	0.938976294
ENSG00000116096	1.011101489	1.61E-12	3.65E-11	0.59246801	0.002065138	0.012856397	0.344275667	0.002873786	0.015417483	0.341893964	0.215873914	0.430164129	0.34333929	0.265437271	0.590471956	0.70792845	3.01E-05	0.000254188	0.435528383	0.013958794	0.051437076	0.465587641	0.231888301	0.482411086	0.763983159	0.004642391	0.024989384	0.35039271	0.073137112	0.28118228
ENSG00000134375	-0.089830463	0.495521196	0.780409449	-0.647697106	0.002323369	0.014257427	-0.005727091	0.946492582	1	0.386623963	0.003181407	0.013682746	-0.148749145	0.305573435	0.651059806	-0.126852803	0.423664541	0.751946042	-0.292844047	6.16E-05	0.000436374	-0.165716692	0.27902264	0.546886594	-0.256198349	0.037693464	0.135184859	-0.026226966	0.772583918	1
ENSG00000149262	-0.07918121	0.554834085	0.8365796	0.222818359	0.35565726	0.699548171	0.165905787	0.115599168	0.319614968	0.049730553	0.576471006	0.854022731	-0.306318748	0.061624161	0.218448651	0.022529513	0.887139143	1	0.072251223	0.385707506	0.712820108	-0.138165468	0.424964746	0.718497847	-0.155917791	0.171342473	0.429007204	-0.087293174	0.513964224	0.899645914
ENSG00000121931	0.230836263	0.20922654	0.425990804	0.976450332	2.17E-05	0.000238786	-0.319444039	0.021019983	0.082385016	0.185751746	0.311627034	0.557281838	1.021660031	1.66E-05	0.000233756	0.347809196	0.176478575	0.403845966	0.574493043	0.000100984	0.000680443	1.149689048	3.93E-09	7.48E-08	-0.236750077	0.079896576	0.243103714	0.095718575	0.451470039	0.847763901
ENSG00000183077	0.782135487	0.346239836	0.600884058	-0.820069399	0.022340278	0.092871231	-0.731280327	0.047474747	0.160454771	-0.575131413	0.190406443	0.390969789	-0.146317546	0.648880026	1	-0.655825102	0.031723583	0.107882754	-0.333426138	0.002378373	0.011197294	-1.147141466	5.40E-06	6.04E-05	-0.919889216	0.113368635	0.318733757	-1.13648358	0.251348365	0.622227097
ENSG00000123560	1.110163106	0.107434244	0.257336995	3.226062626	0.032234659	0.124466104	-0.257332597	0.549706176	0.922929968	-2.165946678	0.079401355	0.199097014	-0.706318762	0.474865868	0.856102126	0.01863814	0.977179975	1	-0.471150108	0.240648488	0.511433928	2.902479622	6.02E-05	0.000527736	0.418518545	0.533031362	0.900645152	-0.417460377	0.728087837	1
ENSG00000126233	0	1	1	0	1	1	5.13E-15	1	1	0	1	1	0	1	1	-1.893539111	0.295359222	0.583066219	0.059567958	0.953606955	1	0	1	1	0	1	1	0	1	1
ENSG00000163217	0	1	1	2.256508397	0.155114443	0.408542196	2.956296783	0.14793345	0.383636871	0	1	1	2.398850019	0.158688823	0.424906777	1.879601963	0.295359222	0.583066219	0.951603758	1	1	0	1	1	0.522233064	0.691949749	1	0	1	1
ENSG00000204628	-0.620900859	3.79E-05	0.000260419	-0.769265832	0.001748215	0.011118607	-0.207275024	0.010006954	0.044192136	0.008083026	0.953588614	1	-0.569619031	0.424265088	0.797599589	-1.197752067	2.02E-05	0.000177047	-0.536945374	3.02E-06	2.90E-05	0.068700399	0.826358251	1	-0.105996558	0.514068103	0.882228074	-0.340590578	7.90E-05	0.001201525
ENSG00000134255	-0.048582934	0.676146703	0.957006953	-0.172633291	0.258821378	0.576697623	0.454884662	2.14E-07	3.06E-06	-0.165604751	0.182363241	0.37777179	0.19890885	0.143241	0.398510572	-0.039232464	0.76851414	1	-0.140209634	0.204596786	0.45216463	0.220173563	0.224890774	0.471863474	-0.328730962	0.045641097	0.157092594	0.206522301	0.157724932	0.470080442
ENSG00000109111	0.349361716	0.000224404	0.001273249	0.143796998	0.383472195	0.737821658	0.254308679	0.000256951	0.001850932	0.164891502	0.04280268	0.120047946	-0.004203279	0.97315308	1	0.164017682	0.203292652	0.447997953	0.115952595	0.116597529	0.296034785	0.07660317	0.678254187	0.959638347	0.344980699	0.005585778	0.029201121	0.246196134	0.001631917	0.015179044
ENSG00000145808	-3.661623427	0.045153261	0.127573896	0	1	1	5.13E-15	1	1	0.111801202	1	1	4.102123946	0.080828194	0.265820465	0	1	1	-0.888637754	1	1	-3.211194328	0.073483391	0.212563467	1.335203582	0.486540576	0.852682283	-0.562730825	0.755046351	1
ENSG00000162777	1.174995492	4.30E-06	3.62E-05	2.0660244	1.43E-08	2.97E-07	0.872017424	1.74E-07	2.51E-06	5.265276828	1.22E-12	2.67E-11	1.216030549	0.029256878	0.125774349	1.813253118	6.89E-11	1.36E-09	1.56051822	3.87E-24	2.54E-22	2.389240551	5.08E-19	2.56E-17	1.489234451	0.003803969	0.021175561	0.296917506	0.354118043	0.744032665
ENSG00000066583	-0.049414322	0.791191625	1	0.024178458	0.921427149	1	0.260528524	0.000989296	0.006071848	-0.272336253	0.290550263	0.537431591	-0.225679224	0.423288187	0.796203517	0.815725941	9.54E-10	1.64E-08	0.529175841	3.51E-06	3.34E-05	0.296437574	0.145259075	0.349863688	-0.633447195	1.63E-05	0.00020096	-0.133032122	0.205810272	0.552894047
ENSG00000133055	0.848219495	1	1	1.479322513	0.252688223	0.567030894	0.745791648	0.411751483	0.768583943	1.936335173	0.223049605	0.44117175	3.670309216	0.055144994	0.202340547	-2.546557065	0.001415991	0.007836392	-3.298776777	2.68E-11	5.91E-10	3.863033834	0.006444334	0.030675592	1.790117964	0.144809815	0.379609495	1.568677299	0.511086366	0.897516525
ENSG00000163485	4.467300468	9.57E-07	9.24E-06	-0.026636092	0.983449679	1	0.039207448	1	1	2.804700055	9.30E-10	1.42E-08	0.625066891	0.381426779	0.742249668	-0.280087828	0.736657974	1	-0.498857222	0.283088673	0.566543323	-0.460963781	0.441317908	0.736683208	-0.488311126	0.559041264	0.912877587	-0.694974753	0.17383247	0.499522317
ENSG00000122180	0	1	1	0	1	1	2.38528782	0.1261996	0.342402504	0	1	1	0	1	1	1.603952684	0.530239481	0.863409701	0	1	1	0	1	1	0	1	1	1.228821101	0.062298609	0.251088219
ENSG00000113396	-4.350177878	0.002962862	0.01257411	0.374144832	1	1	-1.764969555	0.00034699	0.002421813	-1.311242252	0.090919837	0.222088545	0	1	1	-0.095034386	0.605789483	0.946075421	0.049092931	0.758998457	1	0.378997805	0.922733969	1	-0.619832498	0.292055772	0.615624845	-2.192360353	0.275213825	0.64891383
ENSG00000047188	-0.161978818	0.183617207	0.386070182	-0.609924575	0.002074643	0.012908888	0.191475654	0.079852277	0.240639798	-0.077829314	0.740768271	1	-0.090501748	0.569538031	0.943861284	-0.614282992	5.63E-07	6.47E-06	-0.529856373	7.18E-14	2.13E-12	-0.603932979	0.00140039	0.008391269	0.091487449	0.536606886	0.90137579	0.102198723	0.306795459	0.68553038
ENSG00000089057	-0.590214948	0.000593768	0.003041838	-1.67579001	1.40E-37	2.04E-35	0.213041943	0.010509655	0.046159386	-0.709056504	5.42E-05	0.000371683	-1.019635749	1.71E-17	1.33E-15	-1.65693311	1.01E-15	3.17E-14	-1.05254741	1.20E-22	7.22E-21	-1.573773041	5.72E-18	2.64E-16	-0.759622178	2.36E-08	5.79E-07	-0.356469187	0.018902299	0.103683321
ENSG00000225190	0.635477078	2.79E-06	2.44E-05	-0.132760417	0.842362237	1	0.259260733	0.012314776	0.052886437	0.208075329	0.059305565	0.156951808	0.212915642	0.536286996	0.922386491	-0.029250514	0.868095814	1	0.130355247	0.138581881	0.339094994	0.590813522	0.006563123	0.031098279	0.168983554	0.110497634	0.31259968	0.253935599	0.040081199	0.182836036
ENSG00000171444	0.734809197	0.004551349	0.018289934	-0.006122868	0.993084526	1	0.661002781	1.33E-09	2.66E-08	2.243692033	8.19E-11	1.43E-09	0.985867562	0.119095622	0.3511458	1.254862231	3.49E-08	4.81E-07	0.682695478	0.009483403	0.036976706	1.04542211	0.000155532	0.001230639	0.408245762	0.042255404	0.147823062	0.298277559	0.019121032	0.1045839
ENSG00000143847	0.624875449	0.282890456	0.526944415	-0.875889405	0.246304579	0.556601196	0.751164832	0.278427315	0.589771957	-1.445999225	1.98E-05	0.000148426	-0.364478265	0.602753867	0.976973576	-0.059508355	0.80836748	1	-0.45866783	0.014734494	0.053853059	2.618546086	1.30E-05	0.00013378	-0.069048925	0.916013907	1	0.667100299	0.126889314	0.409034111
ENSG00000116857	0.268024825	0.065926194	0.174158009	0.054456857	0.787252204	1	0.681363399	8.58E-09	1.53E-07	0.219784348	0.25573301	0.48970421	0.004693881	0.984264954	1	0.033233014	0.835542389	1	-0.019818727	0.768658697	1	-0.242864937	0.280069374	0.54833815	0.090140047	0.612288343	0.96705405	0.006993343	0.94438007	1
ENSG00000092964	0.108385948	0.442591384	0.718607099	-0.607498834	0.000817779	0.00575284	-0.273286412	9.21E-05	0.000743605	-0.425686089	0.005391012	0.021686622	0.020481192	0.8842108	1	-0.955723932	2.09E-10	3.86E-09	-0.595692656	1.00E-05	8.59E-05	-0.159026428	0.414268893	0.706171113	-0.078384009	0.423882481	0.779502728	-0.315551395	0.059616086	0.243658345
ENSG00000167182	-0.304827675	0.083964555	0.211954839	-0.378635042	0.103049533	0.302654296	-0.088084034	0.501782065	0.868329831	-0.106088572	0.456290563	0.739024397	-0.065012095	0.836061206	1	-0.09067489	0.699489949	1	-0.033934137	0.786347276	1	-0.173170706	0.567767165	0.856782221	0.344633835	0.066915396	0.212112343	-0.138778033	0.398127885	0.795002752
ENSG00000129595	-1.421896926	0.134947357	0.306547613	0.508174077	0.561809704	0.928741126	0.132343307	0.480476293	0.852718155	-0.58590472	0.400558616	0.6712664	0.870090791	0.053475252	0.197743995	-0.211912462	0.679338181	1	0.207281564	0.614524691	0.958665224	1.548836601	0.028271497	0.101661805	-0.33484358	0.697717368	1	-0.183369792	0.688649793	1
ENSG00000221914	0.241856262	0.028153704	0.086479877	0.880192323	0.000418441	0.003244614	0.207999646	0.001218118	0.007273303	1.078723964	7.28E-08	8.42E-07	0.49813942	0.013498834	0.06797758	0.959757088	9.32E-12	2.02E-10	0.463709644	1.48E-08	2.19E-07	1.0969438	1.92E-05	0.000188861	0.369192917	0.030373346	0.11418189	0.303144367	0.004391243	0.033867678
ENSG00000164211	2.733706367	9.79E-24	6.09E-22	2.799966318	1.95E-19	1.32E-17	-0.123912331	0.163923035	0.412890594	0.29106327	0.109264187	0.25553721	1.095628165	2.86E-06	4.82E-05	1.766190358	8.93E-35	7.60E-33	1.434951122	7.54E-16	2.73E-14	2.197500869	9.00E-15	3.21E-13	2.222637074	6.46E-36	1.05E-33	0.911512453	0.000191828	0.002563891
ENSG00000221818	0.459454791	0.664165388	0.944793681	0.641266775	0.054022317	0.186234831	-0.497788216	0.000161462	0.00123023	1.324154006	0.39770661	0.668098604	0.309004737	0.79417716	1	-0.284847896	0.72260617	1	-0.458052657	0.241912104	0.513052718	1.009031281	0.288828343	0.560750494	-0.476615913	0.672241414	1	-1.053703791	0.221380975	0.578588517
ENSG00000278023	-0.381391946	0.520127927	0.806630181	-0.629592725	0.01493516	0.066847288	-1.755514225	0.000544204	0.003604194	1.081408075	0.667781895	0.942902298	-0.560573176	0.143908686	0.399768135	-0.983637085	0.055605144	0.168231358	-0.754467536	0.119340334	0.301294502	-1.234455203	0.112517254	0.29226301	1.843781503	0.262172055	0.571991818	-0.185886548	0.878952056	1
ENSG00000152495	-0.279502689	0.727746912	1	-0.477129373	0.162622456	0.422700027	-3.042058253	0.000481655	0.003242202	5.726206451	4.58E-25	2.43E-23	3.054863545	0.177216598	0.458268412	-0.421010005	0.338247916	0.644708819	-0.571089441	0.198831155	0.442715739	-1.057946106	0.004040264	0.020805351	-1.229479166	0.336924768	0.667026563	-0.234499148	0.955595873	1
ENSG00000134987	-0.435821977	0.000152242	0.00089732	0.329517266	0.153835865	0.406020851	0.25982641	2.35E-05	0.000221722	-0.076568171	0.513873291	0.803930106	-0.187710921	0.341334072	0.700403351	0.197661531	0.278751431	0.567599515	0.379783333	1.09E-05	9.24E-05	0.390966059	0.114773832	0.29623636	-0.452774422	0.012622339	0.056737498	-0.077399513	0.480978946	0.879431223
ENSG00000007312	-0.709496811	8.48E-05	0.00053323	0	1	1	5.13E-15	1	1	0	1	1	0	1	1	1.582819729	0.450262343	0.784594263	0.456184278	0.707860031	1	4.793262224	0.00044925	0.003111399	0	1	1	0	1	1
ENSG00000164209	0.072683844	0.716904311	0.991999529	-0.07765698	0.572330428	0.94023227	-0.177590511	0.074857066	0.228766744	-0.314504283	0.003230554	0.013869377	0.211674275	0.213798418	0.51835385	-0.291982897	0.054505201	0.165570472	-0.107207944	0.175155441	0.400742404	0.035803543	0.850308805	1	-0.445053252	0.026682797	0.103170843	-0.014774022	0.870016883	1
ENSG00000112893	-0.869397023	1.03E-05	8.01E-05	0.047007077	0.760402685	1	0.36011226	2.53E-05	0.000237216	-0.779650754	0.001411055	0.006752407	0.175507972	0.210847262	0.513751026	-0.626706798	0.002719941	0.013793188	-0.214674055	0.200114585	0.445053592	-0.665153803	0.000313431	0.002285664	-0.743940936	2.35E-06	3.64E-05	-0.612719985	0.001218694	0.011993457
ENSG00000125818	1.215106437	6.47E-10	1.06E-08	0.713833736	1.23E-05	0.000144467	0.360119038	1.05E-05	0.000106416	2.358667993	4.56E-140	3.99E-137	1.450049939	2.23E-26	3.01E-24	1.420086302	2.96E-42	3.06E-40	1.318250532	1.09E-36	1.23E-34	1.317748424	1.71E-17	7.48E-16	1.481856707	1.51E-27	1.76E-25	0.564171528	1.34E-07	4.76E-06
ENSG00000151422	-0.440264853	0.005956802	0.02312647	0.099551007	0.51445983	0.895169271	0.140610862	0.201187171	0.475013752	-0.930515461	1.39E-20	5.38E-19	0.147127658	0.33489247	0.691551165	-0.36001073	0.019174843	0.071241799	0.009922967	0.905020298	1	-0.678226763	0.002647119	0.014551769	-0.563532054	2.63E-05	0.00030175	-0.449482298	0.000699098	0.007566951
ENSG00000145743	-0.383211308	0.003741349	0.015458323	-0.022499304	0.916435437	1	0.200439478	0.018639672	0.074572388	-0.949691985	9.82E-08	1.11E-06	-0.073686169	0.64112094	1	-0.161446856	0.216599053	0.469362365	-0.24592644	0.022916544	0.078647532	-0.112487509	0.679759914	0.960596028	-0.380416909	0.003728006	0.020869631	-0.043813923	0.722460199	1
ENSG00000147437	-1.050494927	0.151575775	0.333875106	-0.035666989	0.963384663	1	-2.025903181	0.133725377	0.357082012	-0.515568349	0.029922348	0.089827596	-0.019563444	1	1	0.130418806	0.763446178	1	-0.248190829	0.418432632	0.755013795	-0.048221038	0.956719164	1	-0.060653164	0.932794036	1	0.113776875	0.816783427	1
ENSG00000184349	-0.641835693	0.602512855	0.8824084	-1.223655576	1.51E-05	0.000173434	-0.550373357	1.12E-05	0.000113206	0.433598729	0.489470873	0.777292966	2.176140537	0.07313286	0.248262858	-0.144679582	0.815864472	1	-0.032325045	0.944382648	1	-1.209231672	0.004919793	0.024514356	0.493212573	0.561820724	0.915910891	-0.348418028	0.593824092	0.965551618
ENSG00000163395	0	1	1	-2.833040955	0.205024151	0.497766849	0.895397672	1	1	-2.715452525	0.100248112	0.239506944	1.728698375	0.330044551	0.684808018	1.287693995	0.094577872	0.255160059	2.754097854	0.000446231	0.002562246	1.893187562	0.319254929	0.594037614	1.538906222	0.54836862	0.90137579	0	1	1
ENSG00000100731	0.09742516	0.336951269	0.590252626	0.754427403	2.27E-11	6.91E-10	0.02649542	0.720695557	1	-0.208318133	0.054119083	0.145603586	0.415745974	0.020718453	0.095663329	0.845813475	3.04E-13	7.72E-12	0.607475948	1.95E-06	1.94E-05	0.675203892	9.78E-05	0.000813157	0.299470123	0.084855715	0.254445191	0.132581999	0.276977832	0.650965733
ENSG00000081277	1.305539751	2.76E-06	2.42E-05	-0.82267878	0.176795421	0.448544263	0.827615916	0.414126369	0.771760019	0.792880488	0.007101078	0.027269014	0.846667872	0.090395249	0.288218786	0.225130119	0.729067112	1	1.467342643	0.000498106	0.00282466	1.511288071	0.014986993	0.061310991	0.844415023	0.412896775	0.765273014	0.018798825	0.98829801	1
ENSG00000118194	0	1	1	0	1	1	1.801465353	1.18E-12	3.32E-11	-0.016461429	1	1	0	1	1	-1.822971103	0.272023207	0.557242163	-1.893115633	3.74E-10	7.05E-09	-3.569181715	0.051725194	0.163106558	1.144849883	0.749529034	1	0.776581045	0.780659794	1
ENSG00000159173	0.964926348	0.450603582	0.727699474	0.970011009	0.636415358	1	-1.188779248	0.204183728	0.480058827	-0.037601627	0.94452269	1	0.958147063	0.318203189	0.668056326	0	1	1	0.64016995	1	1	1.825300882	0.184226966	0.412975273	0.297401719	0.786916036	1	1.45672804	0.195743492	0.533879376
ENSG00000159176	0.006141555	0.960922369	1	-0.282318341	0.14661135	0.391635277	-0.316322631	9.94E-06	0.000101704	1.030063914	3.34E-07	3.44E-06	-0.140496651	0.476687212	0.857772556	-0.272931358	0.02998165	0.103067367	-0.155762643	0.114367532	0.29127941	0.172320212	0.484871073	0.782642133	-0.189953386	0.276444861	0.591745725	-0.269174971	0.246745876	0.615768219
ENSG00000168710	-0.790995894	6.13E-10	1.01E-08	-0.387037473	0.029335885	0.115515423	-0.122835403	0.088726099	0.261023984	0.526453903	2.22E-08	2.77E-07	-0.391822529	0.004590655	0.028563764	-0.76793903	2.07E-09	3.42E-08	-0.384565467	4.47E-05	0.000326986	-0.077225586	0.683797704	0.964089192	-0.508906839	4.00E-06	5.80E-05	-0.470912126	8.64E-08	3.16E-06
ENSG00000077157	0.255695323	0.246264235	0.475887193	1.311966565	6.51E-05	0.000639857	0.618115338	1.47E-16	5.56E-15	-0.66241773	0.059442118	0.157248455	0.219884224	0.64426653	1	-0.0275991	0.839027405	1	-0.06393978	0.758746268	1	-0.112756394	0.580275377	0.868209712	-0.374581345	0.313542218	0.647908554	-0.204244566	0.404874693	0.796792708
ENSG00000087191	0.169675449	0.119013469	0.278839366	-0.058816784	0.804152066	1	0.424421237	2.67E-07	3.76E-06	0.24346867	0.006885214	0.02659883	-0.054918202	0.752488905	1	-0.259682085	0.256214281	0.531431731	0.038319717	0.705564799	1	-0.521919842	0.116992629	0.300379708	0.298507452	0.013161734	0.058764479	0.081016606	0.470368133	0.869177777
ENSG00000104980	-0.407704705	0.00526181	0.020728839	-0.47798915	0.08102802	0.253503128	0.239010694	0.014111034	0.059252193	0.014386294	0.93149153	1	-0.711752132	0.026038535	0.114646108	-0.82061772	0.000484649	0.003079203	-0.206245267	0.139049403	0.339839118	-0.83533293	0.0043223	0.021998954	0.185149593	0.301016055	0.628539541	-0.187214008	0.193587579	0.533879376
ENSG00000042980	0.779484712	0.286304926	0.532064166	1.437566512	0.554241098	0.921015393	0.646931394	0.44865193	0.813679056	-2.346872906	0.174062067	0.364669957	2.692755623	0.005142533	0.031244415	1.412431951	0.046296999	0.145208932	-0.026767289	1	1	0.892435629	0.278168142	0.54586342	-0.416063303	0.879876959	1	0.27894998	0.790547488	1
ENSG00000159167	3.811362518	1.19E-21	6.32E-20	1.920526852	1.58E-07	2.73E-06	1.477462973	9.67E-08	1.47E-06	0.113470037	0.796627418	1	2.913827411	8.46E-08	1.93E-06	2.346203462	8.50E-06	7.99E-05	-0.545638138	0.063244669	0.181142487	3.00016578	4.73E-18	2.21E-16	1.350183531	0.046803683	0.160294162	0.829994335	0.151489601	0.457181544
ENSG00000176393	-0.220595461	0.029339277	0.089416332	0.032554687	0.890501514	1	0.948447371	6.35E-25	3.79E-23	-0.691122695	5.15E-06	4.27E-05	-0.064978273	0.720972192	1	-0.127816401	0.208690695	0.45644985	-0.161089431	0.011715964	0.044336543	0.301084636	0.194127272	0.428749534	-0.456835559	6.20E-05	0.000643053	-0.296521624	0.000199911	0.002658747
ENSG00000099783	0.164776501	0.203219999	0.417407992	-0.413322499	0.060080408	0.202346367	0.065363349	0.535679895	0.90735574	0.378776883	0.010505152	0.037750514	-0.202664861	0.220711151	0.528700174	-0.018767259	0.928749352	1	-0.107702585	0.463617068	0.811454021	-0.405687506	0.150678835	0.358882302	0.301656222	0.075744358	0.233327963	0.051210877	0.637713472	0.991327241
ENSG00000147454	0.789929821	1.77E-07	1.95E-06	0.559936764	0.000340733	0.002733461	0.983047267	4.32E-16	1.58E-14	-0.202354604	0.235735655	0.460184443	1.508829183	3.01E-07	6.13E-06	0.499652347	0.004042369	0.019340779	0.355795872	0.000351671	0.00208296	0.389287347	0.006432855	0.030635754	-0.387551431	0.08980558	0.266151084	0.155158762	0.251202531	0.62193745
ENSG00000197106	-0.183458946	0.59187506	0.871172685	-0.517041428	0.398678183	0.757781304	-0.339986459	0.018669215	0.074653546	-2.204145267	0.039395777	0.112521855	0.162791095	0.858105929	1	1.048811598	0.017564385	0.06621956	-0.491185364	0.084062024	0.227412825	-0.806013779	0.017470717	0.06949454	-0.398667314	0.140489	0.371392843	0.01222581	0.92658276	1
ENSG00000198700	-0.359480586	0.001083489	0.005212771	-0.067989951	0.599120988	0.969012751	-0.18075156	0.002876193	0.015426597	0.075358324	0.479589138	0.766396796	-0.0640308	0.662393576	1	-0.228213882	0.031311899	0.106880253	-0.140680705	0.247174326	0.521043115	-0.235683134	0.10379761	0.275053195	-0.414605783	0.005990455	0.030948231	-0.235734623	0.009496417	0.061787446
ENSG00000116396	0.258397052	0.281251692	0.524704294	-0.562257548	0.071570052	0.229940332	-1.253288423	0.671710817	1	-0.880195135	0.030956589	0.092357337	1.348108633	0.313881031	0.66266662	0.268300661	0.519036082	0.863409701	0.436416983	0.224357391	0.484874793	-0.142370392	0.596420757	0.883177884	-0.62081152	0.14712421	0.384228253	0.032957317	0.955423528	1
ENSG00000162775	0.253249273	0.040375698	0.116550818	-0.092178162	0.585910285	0.954915534	-0.002384758	0.973970799	1	0.255731013	0.018261949	0.059712053	-0.011404179	0.942606593	1	0.083956629	0.481756964	0.823486056	-0.164407766	0.13533969	0.332942332	-0.2479151	0.159252091	0.373056244	0.078889698	0.65072048	1	0.254490498	0.04142078	0.187283392
ENSG00000134013	-0.396834792	0.135037366	0.306622001	0.219778567	0.639355325	1	-0.634780486	3.85E-09	7.27E-08	0.159022371	0.712433123	0.981586968	-0.141340439	0.64867121	1	-0.491118653	2.09E-05	0.00018318	-0.120893164	0.21137402	0.463648679	-0.197561788	0.34644917	0.627365951	-0.162654055	0.384116863	0.729544441	-0.306156815	0.386591861	0.781809283
ENSG00000261609	-0.918696711	0.000159431	0.000935006	-0.741215593	0.005967944	0.031371498	-0.870910091	2.21E-22	1.16E-20	-0.917538876	0.000121443	0.000769642	-0.867059536	4.25E-06	6.79E-05	-0.969525622	3.91E-06	3.92E-05	-0.849628832	1.27E-14	4.03E-13	-0.430201245	0.135804593	0.333410853	-0.748397012	5.93E-08	1.34E-06	-0.158673791	0.31214265	0.691269828
ENSG00000147457	0.044446839	0.737669465	1	0.160084691	0.143856026	0.386084055	0.129051979	0.098654964	0.282895773	0.861180206	1.33E-10	2.26E-09	0.250923212	0.064969824	0.227188255	0.073696888	0.449602052	0.78381258	0.099830134	0.120119337	0.302860128	-0.061020004	0.697459765	0.973821578	0.133870129	0.379852479	0.724361769	0.118521325	0.183739447	0.518799393
ENSG00000146872	0.806194856	9.66E-16	3.18E-14	1.127513161	8.57E-12	2.74E-10	0.218415293	0.009067208	0.040627061	0.919273291	3.02E-18	1.01E-16	0.693548613	7.46E-07	1.41E-05	0.828033777	3.15E-15	9.53E-14	0.601849521	2.21E-08	3.20E-07	1.059744535	2.82E-11	7.22E-10	0.978249503	2.62E-13	1.25E-11	0.434718922	3.91E-07	1.23E-05
ENSG00000168679	2.576231657	1.53E-13	3.95E-12	3.728881166	5.55E-30	6.41E-28	-1.598879746	0.000280202	0.001998586	-0.534597486	0.516060003	0.805719493	1.485109442	3.57E-05	0.00045765	2.52082473	8.35E-18	3.01E-16	2.034697208	1.11E-13	3.25E-12	4.380771688	2.40E-73	7.07E-71	0.553550115	0.210487384	0.490207505	0.275867519	0.532908423	0.916081002
ENSG00000140931	0.673168705	1.18E-06	1.12E-05	0.264772083	0.197617355	0.484769496	0.159971918	0.16371189	0.412890594	1.12909018	4.43E-26	2.48E-24	0.069926309	0.670962288	1	0.1186343	0.567695664	0.90595233	0.295458035	0.001530096	0.00760758	0.464110824	0.054540857	0.169784161	0.423527301	0.088614195	0.263368455	-0.03651563	0.889882366	1
ENSG00000005206	0.148890555	0.276143939	0.518199319	-0.125342389	0.63637374	1	0.349622735	0.000736111	0.004680161	0.198750443	0.237633849	0.463046255	-0.057588698	0.812830776	1	-0.130181233	0.476301218	0.817241694	-0.027033021	0.782445005	1	-0.749319699	0.059331456	0.180672079	0.410040149	0.032745486	0.121178046	-0.120587091	0.370184951	0.763344117
ENSG00000183155	-0.135236414	0.487419855	0.770995191	0.25767843	0.138397957	0.37546934	-0.392896374	0.000300847	0.002128531	0.275844033	0.288480079	0.53467932	0.047329088	0.901170049	1	0.424308216	0.006551917	0.028989442	0.166650233	0.093272489	0.247701585	0.401075723	0.079313997	0.225389044	0.068571768	0.68491466	1	-0.303207298	0.249249424	0.619590754
ENSG00000099219	-0.187610926	0.213738187	0.432951355	0.035767746	0.803110234	1	-0.055906113	0.560693635	0.935248149	-0.353799901	0.001559617	0.007382725	-0.586113177	0.000829092	0.006928355	-0.382976761	0.003419306	0.016761772	-0.297627773	0.000999225	0.005228334	-0.416194349	0.034648879	0.119407419	-0.245396725	0.070306125	0.220120754	-0.396317254	0.005810279	0.042330067
ENSG00000143105	0	1	1	-2.759199368	0.233040972	0.536101536	5.13E-15	1	1	0	1	1	0	1	1	4.585980711	7.14E-05	0.000555575	-0.899154861	1	1	0	1	1	0	1	1	0	1	1
ENSG00000177301	-1.19731751	0.546590926	0.835767493	0	1	1	-0.795726612	0.299926886	0.620955302	-2.944414726	0.148228059	0.324432881	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0.355759066	0.925836041	1
ENSG00000178297	4.830922339	9.90E-07	9.52E-06	3.35398867	0.046117007	0.165157157	5.13E-15	1	1	-0.342806439	0.768758192	1	0	1	1	2.199768981	0.171582853	0.395699902	1.914158412	0.005693562	0.023808767	1.504530764	0.546169953	0.83422284	0	1	1	3.285067682	0.056536265	0.234313219
