Gene	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value	Rattus norvegicus FC	Rattus norvegicus P-value	Rattus norvegicus Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value
ENSG00000196663	0.124259189	0.328440036	0.736001546	-0.018971335	0.947891196	1	0.16119892	0.483671475	1	0.033629962	0.884878877	1
ENSG00000163481	0.22521655	0.067910587	0.284131322	0.776540623	1.69E-06	3.74E-05	0.478990177	0.050587756	0.370880715	0.721599392	0.000814459	0.014154558
ENSG00000156381	0.185837698	0.512783373	0.919476369	0.003884735	0.988827044	1	-0.393636202	0.224642136	0.859816791	-1.037188618	0.009946964	0.105558034
ENSG00000111142	0.084862493	0.495158865	0.918488448	0.001178423	0.993003805	1	-0.296183219	0.053660005	0.385515916	-0.06462728	0.676184437	1
ENSG00000137968	-1.938787418	0.51639458	0.919476369	-0.002391765	1	1	1.869119591	1	1	-0.583761614	0.710015572	1
ENSG00000089902	-0.164315885	0.149895827	0.468778916	-0.229769411	0.149330606	0.390231353	-0.221093525	0.315922846	0.98358013	-0.235546054	0.359669352	1
ENSG00000074582	0.025473216	0.851955921	1	0.05549255	0.72789927	1	0.06356823	0.754090002	1	-0.095856382	0.695980614	1
ENSG00000047315	-0.303856962	0.004698174	0.042833611	-0.343254401	0.010033307	0.052317744	-0.20213692	0.196970626	0.800593833	-0.371972618	0.035020533	0.263624753
ENSG00000137955	0.134549626	0.403588395	0.830443713	0.700235641	5.97E-05	0.000798237	0.360676245	0.028202375	0.25736776	0.654466324	0.005188682	0.063293341
ENSG00000131323	0.4006723	0.003767464	0.03613757	0.025089616	0.876611289	1	0.620818068	0.029043405	0.261749941	0.483559246	0.012970819	0.129624857
ENSG00000166126	0.553730123	0.442231266	0.866167465	0.377019682	0.287002364	0.599865807	-0.829130419	0.711568658	1	0.591523184	0.255705277	0.870686191
ENSG00000057468	2.186308118	0.099459251	0.364592995	2.150367764	0.52123086	0.862732457	1.869119591	1	1	0.68773442	0.152359301	0.665684587
ENSG00000115568	0.438559971	0.010764653	0.080576474	0.735549124	1.36E-05	0.000227185	1.22149912	1.78E-06	7.78E-05	-0.042224403	0.868429889	1
ENSG00000133872	-0.376039859	0.024292281	0.141432188	-0.354232566	0.053107616	0.185018974	-0.015621017	0.938119489	1	-0.107154243	0.515244761	1
ENSG00000136014	-0.576110866	0.662756181	1	-0.125448864	0.88226798	1	2.708732685	0.522452058	1	1.056830454	1	1
ENSG00000174780	-0.23321115	0.029223896	0.161528042	-0.352474523	0.007159513	0.039980586	-0.021109224	0.890284268	1	-0.1127359	0.508545438	1
ENSG00000171476	0.01336894	1	1	-0.275855142	0.900800766	1	0.001536507	0.99835903	1	1.414420596	0.006332636	0.073980412
ENSG00000033867	0.205357803	0.206847704	0.573892449	-0.175471586	0.297700695	0.614457394	1.513986907	2.09E-18	3.06E-16	0.361946292	0.235604638	0.834004571
ENSG00000074527	-0.141076411	0.637070112	1	-0.48986211	0.067278022	0.220465061	0.117295598	0.676946135	1	-0.038282078	0.822197301	1
ENSG00000112486	1.7206464	0.001803686	0.020648589	2.905256275	0.15746949	0.401101881	0	1	1	0	1	1
ENSG00000120875	-1.329022246	0.002680715	0.028018809	1.049871442	0.001653976	0.012579769	0.25093583	0.576982264	1	-0.884556218	0.010692632	0.111036126
